Data Medicao,Month_name,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)","VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s)"
2025-01-16 00:00:00,Janeiro,5.051612903225807,21.1,82.26774193548388,9.087096774193547
2025-02-14 12:00:00,Fevereiro,5.621428571428572,21.910714285714285,81.61071428571428,9.19285714285714
2025-03-16 00:00:00,Março,2.0000000000000004,20.258064516129032,79.71935483870968,8.741935483870968
2025-04-15 12:00:00,Abril,5.806666666666668,15.49,86.70333333333333,8.546666666666665
2025-05-16 00:00:00,Maio,4.748387096774193,14.183870967741935,85.19354838709677,9.151612903225804
2025-06-15 12:00:00,Junho,4.569941775836972,12.6,83.10467532467534,8.632943722943725
2025-07-16 00:00:00,Julho,5.070305676855895,11.9,82.43852813852816,8.866233766233767
2025-08-16 00:00:00,Agosto,5.070305676855895,13.5,82.43852813852816,8.866233766233767
2025-09-15 12:00:00,Setembro,5.070305676855895,14.8,82.43852813852816,8.866233766233767
2025-10-16 00:00:00,Outubro,6.769502746865756,16.074698457223,82.30127077223852,9.03958944281525
2025-11-15 12:00:00,Novembro,5.561353711790392,16.73027536231884,81.36795093795095,8.555541125541124
2025-12-16 00:00:00,Dezembro,5.580645161290323,20.216129032258067,79.72258064516129,8.851612903225806
